#id	name	features	celularLocation	elements	stoichiometry
Complex1130	26S-proteasome	None	nucleoplasm	Protein2702;Protein2703;Protein2704;Protein2705;Protein2706;Protein2707;Protein2708;Protein2709;Protein2710;Protein2711;Protein2712;Protein2713;Protein2714;Protein2715;Protein2716;Protein2717;Protein2718;Protein2719;Protein2720;Protein2721;Protein2722;Protein2723;Protein2724;Protein2725;Protein2726;Protein2727;Protein2728;Protein2729;Protein2730;Protein2731;Protein2732;Protein2733;Protein2734;Protein2735;Protein2736;Protein2737;Protein2738;Protein2739;Protein2740;Protein2741;Protein2742	Protein2702:1.0;Protein2703:1.0;Protein2704:1.0;Protein2705:1.0;Protein2706:1.0;Protein2707:1.0;Protein2708:1.0;Protein2709:1.0;Protein2710:1.0;Protein2711:1.0;Protein2712:1.0;Protein2713:1.0;Protein2714:1.0;Protein2715:1.0;Protein2716:1.0;Protein2717:1.0;Protein2718:1.0;Protein2719:1.0;Protein2720:1.0;Protein2721:1.0;Protein2722:1.0;Protein2723:1.0;Protein2724:1.0;Protein2725:1.0;Protein2726:1.0;Protein2727:1.0;Protein2728:1.0;Protein2729:1.0;Protein2730:1.0;Protein2731:1.0;Protein2732:1.0;Protein2733:1.0;Protein2734:1.0;Protein2735:1.0;Protein2736:1.0;Protein2737:1.0;Protein2738:1.0;Protein2739:1.0;Protein2740:1.0;Protein2741:1.0;Protein2742:1.0
Complex8025	ub-PTCH1:SMURF	None	ciliary-membrane	Protein15380;Protein17119	Protein15380:1.0;Protein17119:1.0
Complex8026	SMO-dimer:ARRB:KIF3A	None	endocytic-vesicle-membrane	Complex7987;Protein15492;Protein887	Complex7987:1.0;Protein15492:1.0;Protein887:1.0
Complex7987	SMO-dimer	None	endocytic-vesicle-membrane	Protein17066	Protein17066:2.0
Complex8027	SMO-dimer	None	ciliary-membrane	Protein7250	Protein7250:2.0
Complex8031	pS588,-S590,-T593,-S595-SMO-dimer:CSNK1A1:ADRBK1	None	ciliary-membrane	Complex8029;Protein17125	Complex8029:1.0;Protein17125:1.0
Complex8029	pS588,S590,-T593,-S595-SMO-dimer:CSNK1A1	None	ciliary-membrane	Complex8030;Protein17123	Complex8030:1.0;Protein17123:1.0
Complex8030	pS588,-S590,-T593,-S595-SMO-dimer	None	ciliary-membrane	Protein17124	Protein17124:2.0
Complex8032	p6S,-T-SMO-dimer:CSNK1A1:ADRBK1	None	ciliary-membrane	Complex8033;Protein17123;Protein17125	Complex8033:1.0;Protein17123:1.0;Protein17125:1.0
Complex8028	SMO-dimer:CSNK1A1	None	ciliary-membrane	Complex8027;Protein17123	Complex8027:1.0;Protein17123:1.0
Complex8036	IQCE:EFCAB7:EVC2:EVC	None	ciliary-membrane	Complex8034;Complex8035	Complex8034:1.0;Complex8035:1.0
Complex8034	EFCAB7:IQCE	None	primary-cilium	Protein17127;Protein17128	Protein17127:1.0;Protein17128:1.0
Complex8024	PTCH1:SMURF	None	ciliary-membrane	Protein15380;Protein17068	Protein15380:1.0;Protein17068:1.0
Complex7996	IFT-A-complex:TULP3	None	primary-cilium	Complex7993;Protein17091	Complex7993:1.0;Protein17091:1.0
Complex7993	IFT-A-complex	None	primary-cilium	Complex7994;Complex7995	Complex7994:1.0;Complex7995:1.0
Complex7994	IFT-A-core	None	primary-cilium	Protein7266;Protein7269;Protein7270	Protein7266:1.0;Protein7269:1.0;Protein7270:1.0
Complex7995	IFT-A-peripheral-complex	None	primary-cilium	Protein7267;Protein7268	Protein7267:1.0;Protein7268:1.0
Complex7997	GPR161:IFT-A:TULP3	None	primary-cilium	Complex7996;Protein17092	Complex7996:1.0;Protein17092:1.0
Complex8006	PTCH1-gene:GLI3R	None	nucleoplasm	Dna306;Protein17109	Dna306:1.0;Protein17109:1.0
Complex8007	GLI1-gene:GLI3R	None	nucleoplasm	Dna307;Protein17109	Dna307:1.0;Protein17109:1.0
Complex7998	adenylate-cyclases:Mg2+	None	plasma-membrane	Protein17093;SmallMolecule357	Protein17093:1.0;SmallMolecule357:2.0
Complex2139	G-protein-alpha-(s):GTP	None	plasma-membrane	Protein5637;SmallMolecule147	Protein5637:1.0;SmallMolecule147:1.0
Complex8013	ub-p11S-GLI2:SUFU	None	ciliary-base	Protein17089;Protein17113	Protein17089:1.0;Protein17113:1.0
Complex8010	p4S-GLI2:SUFU	None	ciliary-base	Protein17089;Protein17110	Protein17089:1.0;Protein17110:1.0
Complex8009	GLI2:SUFU	None	ciliary-base	Protein17087;Protein17089	Protein17087:1.0;Protein17089:1.0
Complex7079	beta-TrCP:Skp1:Cul1:Rbx1;SCF-beta-TrCP-complex	None	cytosol	Protein1705;Protein2465;Protein2466;Protein2467	Protein1705:1.0;Protein2465:1.0;Protein2466:1.0;Protein2467:1.0
Complex8012	p11S-GLI2:SUFU	None	ciliary-base	Protein17089;Protein17112	Protein17089:1.0;Protein17112:1.0
Complex8011	p8S-GLI2:SUFU	None	ciliary-base	Protein17089;Protein17111	Protein17089:1.0;Protein17111:1.0
Complex8008	GLI2-gene:GLI3R	None	nucleoplasm	Dna308;Protein17109	Dna308:1.0;Protein17109:1.0
Complex7988	SMO-dimer	None	ciliary-tip	Protein17067	Protein17067:2.0
Complex8000	PKA-regulatory-subunits:cAMP	None	ciliary-base	Protein17095;SmallMolecule364	Protein17095:1.0;SmallMolecule364:2.0
Complex7999	PKA-tetramer	None	ciliary-base	Protein17095;Protein17100	Protein17095:2.0;Protein17100:2.0
Complex7990	KIF7:microtubule	None	ciliary-tip	PhysicalEntity1243;Protein17074	PhysicalEntity1243:1.0;Protein17074:1.0
Complex8003	p10S-GLI3:SUFU	None	ciliary-base	Protein17089;Protein17105	Protein17089:1.0;Protein17105:1.0
Complex8002	p6S-GLI3:SUFU	None	ciliary-base	Protein17089;Protein17104	Protein17089:1.0;Protein17104:1.0
Complex8004	p13S-GLI3:SUFU	None	ciliary-base	Protein17089;Protein17106	Protein17089:1.0;Protein17106:1.0
Complex8001	GLI3:SUFU	None	ciliary-base	Protein17088;Protein17089	Protein17088:1.0;Protein17089:1.0
Complex8005	4xub-p13S-Gli3:SUFU	None	ciliary-base	Protein17089;Protein17107	Protein17089:1.0;Protein17107:1.0
Complex7992	GLI:SUFU	None	ciliary-base	Protein17085;Protein17089	Protein17085:1.0;Protein17089:1.0
Complex8015	pS-GLI:SUFU	None	ciliary-base	Protein17089;Protein17114	Protein17089:1.0;Protein17114:1.0
Complex8014	GLI1:SUFU	None	ciliary-base	Protein17086;Protein17089	Protein17086:1.0;Protein17089:1.0
Complex8016	ub-pS-GLI:SUFU	None	ciliary-base	Protein17089;Protein17115	Protein17089:1.0;Protein17115:1.0
Complex8018	NUMB:ITCH:ub-pS-GLI1:SUFU	None	cytosol	Complex8017;Protein17089;Protein17115	Complex8017:1.0;Protein17089:1.0;Protein17115:1.0
