name;prize;penalty
Protein17111;0.75;10
Protein1710;0.75;10
Protein2738;0.75;10
Protein2739;0.75;10
Protein2538;0.75;10
Protein2539;0.75;10
Protein1717;0.75;10
Protein1716;0.75;10
Protein1719;0.75;10
Protein1718;0.75;10
Protein2536;0.75;10
Protein2537;0.75;10
Protein2530;0.75;10
Protein2531;0.75;10
Protein2532;0.75;10
Protein2533;0.75;10
Complex8044;0.75;10
Protein17069;0.75;10
Protein1569;0.75;10
Protein17148;0.75;10
Protein17112;0.75;10
Protein1796;0.75;10
Protein15382;0.75;10
Dna312;0.75;10
SmallMolecule3180;0.75;10
SmallMolecule147;0.75;10
Protein2855;0.75;10
Protein17105;0.75;10
Protein7250;0.75;10
Protein15381;0.75;10
Protein17149;0.75;10
Protein17076;0.75;10
Protein17077;0.75;10
Protein5637;0.75;10
Protein1705;0.75;10
Protein17074;0.75;10
Protein2711;0.75;10
Protein2509;0.75;10
Protein2508;0.75;10
Protein17075;0.75;10
Protein2742;0.75;10
Protein2741;0.75;10
Protein2740;0.75;10
Protein1566;0.75;10
Protein17086;0.75;10
Protein17068;0.75;10
SmallMolecule3179;0.75;10
SmallMolecule3178;0.75;10
Protein17140;0.75;10
PhysicalEntity1243;0.75;10
Protein12381;0.75;10
Protein2717;0.75;10
Protein2702;0.75;10
Protein2715;0.75;10
Protein2718;0.75;10
Protein17092;0.75;10
Protein17093;0.75;10
Protein17094;0.75;10
Protein17095;0.75;10
Protein17096;0.75;10
Protein17097;0.75;10
Protein17098;0.75;10
Protein17099;0.75;10
Protein17067;0.75;10
Protein2724;0.75;10
Protein8850;0.75;10
Protein2516;0.75;10
Protein2517;0.75;10
Protein2514;0.75;10
Protein2515;0.75;10
Protein2512;0.75;10
Protein2513;0.75;10
Protein2510;0.75;10
Protein2511;0.75;10
Protein631;0.75;10
Protein2518;0.75;10
Protein2519;0.75;10
Protein17146;0.75;10
Protein17147;0.75;10
Protein17144;0.75;10
Protein17145;0.75;10
Protein17142;0.75;10
Protein17143;0.75;10
Protein1564;0.75;10
Protein17141;0.75;10
Protein17065;0.75;10
Protein17064;0.75;10
Protein1568;0.75;10
Protein17066;0.75;10
Protein17061;0.75;10
Protein17060;0.75;10
Protein17063;0.75;10
Protein17062;0.75;10
Pathway1741;0.75;10
Pathway1740;0.75;10
Pathway1742;0.75;10
Pathway1738;0.75;10
Pathway1739;0.75;10
Pathway1734;0.75;10
Pathway1735;0.75;10
Pathway1736;0.75;10
Pathway1737;0.75;10
Pathway1733;0.75;10
