Gene.symbol,adj.P.Val,negLog
NETO1,1.02E-05,4.991399828
PNKD,1.04E-05,4.982966661
USP54,1.05E-05,4.978810701
ACYP2,1.07E-05,4.970616222
CHRM2,1.07E-05,4.970616222
HMP19,1.07E-05,4.970616222
MYO18A,1.07E-05,4.970616222
DGKQ,1.08E-05,4.966576245
GORASP1,1.08E-05,4.966576245
ACTR3,1.12E-05,4.950781977
FRMPD3,1.12E-05,4.950781977
EIF5B,1.13E-05,4.946921557
FOXJ1,1.13E-05,4.946921557
C10orf95,1.14E-05,4.943095149
KLHL21,1.16E-05,4.935542011
C4orf36,1.17E-05,4.931814138
MAST3,1.17E-05,4.931814138
TRIM31,1.19E-05,4.924453039
RTEL1,1.20E-05,4.920818754
FCHSD1,1.22E-05,4.913640169
C1QL2,1.26E-05,4.899629455
EPOR,1.26E-05,4.899629455
MAG,1.26E-05,4.899629455
RPS27L,1.26E-05,4.899629455
SERPINB9,1.26E-05,4.899629455
ZNF219,1.27E-05,4.896196279
HIST1H3H,1.28E-05,4.89279003
LRRC10,1.28E-05,4.89279003
ANGPTL5,1.29E-05,4.88941029
B3GAT1,1.30E-05,4.886056648
CHRNE,1.32E-05,4.879426069
DYDC2,1.35E-05,4.869666232
LPAR1,1.35E-05,4.869666232
CCDC60,1.36E-05,4.866461092
MLH3,1.37E-05,4.863279433
TMEM151A,1.37E-05,4.863279433
TONSL,1.37E-05,4.863279433
TP53I3,1.37E-05,4.863279433
MAPK15,1.38E-05,4.860120914
ZNF155,1.39E-05,4.8569852
PPIL3,1.42E-05,4.847711656
AP2A1,1.44E-05,4.841637508
C2CD2L,1.44E-05,4.841637508
OPRM1,1.50E-05,4.823908741
GAS2L1,1.51E-05,4.821023053
MYO7B,1.51E-05,4.821023053
PDPN,1.51E-05,4.821023053
SCIN,1.54E-05,4.812479279
SLMO1,1.54E-05,4.812479279
ACSM5,1.62E-05,4.790484985
ITSN1,1.62E-05,4.790484985
TCTN2,1.62E-05,4.790484985
ZNF654,1.62E-05,4.790484985
TEX11,1.70E-05,4.769551079
TRIM7,1.70E-05,4.769551079
BCR,1.72E-05,4.764471553
CDC42EP1,1.74E-05,4.759450752
HIAT1,1.74E-05,4.759450752
NFIC,1.74E-05,4.759450752
SLC6A2,1.77E-05,4.752026734
CTNNBIP1,1.78E-05,4.749579998
SCRIB,1.81E-05,4.742321425
ABL1,1.83E-05,4.73754891
ITIH5,1.83E-05,4.73754891
AMY1C,1.86E-05,4.730487056
RASSF5,1.86E-05,4.730487056
TAF8,1.86E-05,4.730487056
PLXNA2,1.88E-05,4.725842151
LNPEP,1.90E-05,4.721246399
GAS2L3,1.94E-05,4.71219827
KIF13B,1.94E-05,4.71219827
PPID,1.94E-05,4.71219827
VSX2,1.94E-05,4.71219827
A1BG,1.96E-05,4.707743929
KRTAP5-1,1.98E-05,4.70333481
ACBD5,2.02E-05,4.694648631
DLG2,2.05E-05,4.688246139
RNU86,2.05E-05,4.688246139
PELI3,2.08E-05,4.681936665
SUMO2,2.11E-05,4.675717545
UBR4,2.11E-05,4.675717545
PTPN23,2.14E-05,4.669586227
ZMYM6,2.16E-05,4.665546249
GH2,2.21E-05,4.655607726
CLDN9,2.22E-05,4.653647026
CYP4A11,2.22E-05,4.653647026
NANOS2,2.22E-05,4.653647026
PAK6,2.22E-05,4.653647026
COX16,2.26E-05,4.645891561
NBPF10,2.32E-05,4.634512015
ZNF423,2.32E-05,4.634512015
ESPN,2.39E-05,4.621602099
POU5F2,2.39E-05,4.621602099
GTPBP1,2.46E-05,4.609064893
PDE4A,2.46E-05,4.609064893
FGFBP3,2.49E-05,4.603800653
PTGIS,2.51E-05,4.600326279
EGFR,2.58E-05,4.588380294
SEMA6B,2.59E-05,4.586700236
TACC2,2.61E-05,4.583359493
THEM5,2.64E-05,4.578396073
TSC22D3,2.64E-05,4.578396073
LAD1,2.68E-05,4.571865206
NPR2,2.70E-05,4.568636236
NMT2,2.73E-05,4.563837353
EEPD1,2.79E-05,4.554395797
MED22,2.84E-05,4.54668166
NPSR1,2.86E-05,4.543633967
HOXA6,2.90E-05,4.537602002
ARHGAP31,2.92E-05,4.534617149
WBP1L,2.92E-05,4.534617149
ZBTB16,2.92E-05,4.534617149
OCLN,2.98E-05,4.525783736
ZMIZ2,2.98E-05,4.525783736
PRAC2,2.99E-05,4.524328812
CSF1,3.00E-05,4.522878745
RAI2,3.03E-05,4.518557371
MIR1281,3.17E-05,4.498940738
KCNJ15,3.18E-05,4.49757288
STRN3,3.20E-05,4.494850022
CASZ1,3.23E-05,4.490797478
LOC728026,3.23E-05,4.490797478
SLC13A3,3.31E-05,4.480172006
CNNM2,3.37E-05,4.472370099
STAR,3.37E-05,4.472370099
KAT6B,3.39E-05,4.469800302
CD3EAP,3.40E-05,4.468521083
STAG3,3.44E-05,4.463441557
NDUFV3,3.45E-05,4.462180905
ANKRD37,3.46E-05,4.460923901
TCEB3CL,3.47E-05,4.459670525
DOK4,3.50E-05,4.455931956
AMPD3,3.55E-05,4.449771647
FBXL16,3.57E-05,4.447331784
ZNF331,3.57E-05,4.447331784
LINC00161,3.59E-05,4.444905551
NFATC3,3.59E-05,4.444905551
PPP1R13L,3.61E-05,4.442492798
SNX15,3.70E-05,4.431798276
LURAP1L,3.72E-05,4.42945706
CCDC97,3.75E-05,4.425968732
RGS22,3.75E-05,4.425968732
KIRREL3,3.76E-05,4.424812155
GUCA2A,3.79E-05,4.42136079
KDM4C,3.80E-05,4.420216403
BANF2,3.82E-05,4.417936637
CLSTN1,3.82E-05,4.417936637
RIN1,3.83E-05,4.416801226
CDCP1,3.84E-05,4.415668776
DAB2IP,3.91E-05,4.407823243
PCDH19,3.91E-05,4.407823243
PTMA,3.92E-05,4.406713933
INF2,4.00E-05,4.397940009
OR52H1,4.00E-05,4.397940009
IL6R,4.05E-05,4.392544977
WWP2,4.08E-05,4.389339837
PCNA,4.09E-05,4.388276692
DMRTA2,4.23E-05,4.373659633
NLRP1,4.23E-05,4.373659633
PCDHB16,4.25E-05,4.37161107
G3BP1,4.26E-05,4.370590401
TRIM54,4.34E-05,4.36251027
ANXA2P2,4.36E-05,4.360513511
BRD7P3,4.36E-05,4.360513511
EVC,4.36E-05,4.360513511
CELSR1,4.39E-05,4.35753548
PRKDC,4.39E-05,4.35753548
RPS6KL1,4.39E-05,4.35753548
KIR2DL4,4.46E-05,4.350665141
PPP2R4,4.47E-05,4.349692477
SLITRK1,4.55E-05,4.341988603
ZNF574,4.57E-05,4.3400838
CCDC7,4.60E-05,4.337242168
FXYD1,4.63E-05,4.334419009
C19orf40,4.69E-05,4.328827157
ZC2HC1A,4.71E-05,4.326979093
WBP5,4.76E-05,4.322393047
SLC7A5P2,4.78E-05,4.320572103
BCL11B,4.81E-05,4.317854924
OR4C13,4.81E-05,4.317854924
OR6M1,4.81E-05,4.317854924
GDPD4,4.96E-05,4.304518324
KCNN3,5.00E-05,4.301029996
FAM102A,5.02E-05,4.299296283
STRN4,5.03E-05,4.298432015
PRIM2,5.09E-05,4.293282218
ST20,5.10E-05,4.292429824
TMEM63C,5.13E-05,4.289882635
PDGFB,5.16E-05,4.287350298
DHRS12,5.20E-05,4.283996656
PPM1J,5.22E-05,4.282329497
BCL2L2,5.24E-05,4.280668713
DENND3,5.24E-05,4.280668713
NEUROG3,5.31E-05,4.274905479
TMEM109,5.31E-05,4.274905479
KIAA1614,5.37E-05,4.270025714
SOX6,5.43E-05,4.26520017
TNXA,5.43E-05,4.26520017
HCN4,5.52E-05,4.258060922
NAT6,5.54E-05,4.256490235
VN1R2,5.54E-05,4.256490235
NAV3,5.62E-05,4.250263684
NOL10,5.62E-05,4.250263684
GSTM5,5.69E-05,4.244887734
ANKRD53,5.74E-05,4.241088108
MMP28,5.76E-05,4.239577517
CCL27,5.84E-05,4.233587153
FBXO27,5.84E-05,4.233587153
HAAO,5.84E-05,4.233587153
PPP6R2,5.84E-05,4.233587153
MYO15B,5.90E-05,4.229147988
TBC1D17,5.92E-05,4.227678293
FZD6,6.01E-05,4.221125528
ISM2,6.01E-05,4.221125528
TNKS1BP1,6.03E-05,4.219682688
CCDC146,6.08E-05,4.216096421
PHRF1,6.10E-05,4.214670165
SPTBN2,6.10E-05,4.214670165
UNC13A,6.20E-05,4.207608311
STK35,6.25E-05,4.204119983
GATA2,6.29E-05,4.201349355
ALPPL2,6.35E-05,4.197226275
UBA6,6.35E-05,4.197226275
ASPDH,6.58E-05,4.181774106
FRAT1,6.58E-05,4.181774106
SPCS2,6.58E-05,4.181774106
SLC28A1,6.61E-05,4.179798541
PRPSAP2,6.63E-05,4.178486472
GSN,6.67E-05,4.175874166
MGAT5B,6.68E-05,4.175223538
MCF2L,6.69E-05,4.174573882
CEND1,6.74E-05,4.171340103
TANC1,6.74E-05,4.171340103
ATF7,6.85E-05,4.164309429
FBXW7,6.86E-05,4.163675884
LOC202181,6.89E-05,4.161780778
FBXL14,6.90E-05,4.161150909
FHL2,6.91E-05,4.160521953
PGPEP1,6.94E-05,4.15864053
MAP3K3,6.98E-05,4.156144577
ALPI,7.11E-05,4.148130399
PHF1,7.13E-05,4.14691047
OPN3,7.42E-05,4.129596095
SERP2,7.46E-05,4.127261173
HSPH1,7.54E-05,4.122628654
SPINT1,7.57E-05,4.12090412
WFS1,7.63E-05,4.117475462
ZNF654,7.63E-05,4.117475462
KAT6A,7.65E-05,4.116338565
OR52D1,7.69E-05,4.11407366
ANK3,7.75E-05,4.110698297
KDM2B,7.75E-05,4.110698297
PRKCB,7.82E-05,4.106793247
CHRDL1,7.85E-05,4.105130343
HPSE2,7.85E-05,4.105130343
HSD17B13,7.85E-05,4.105130343
ITIH5,7.85E-05,4.105130343
SIGLEC1,7.85E-05,4.105130343
TRIM8,7.85E-05,4.105130343
CRYM,7.87E-05,4.104025268
GPR50,7.89E-05,4.102922997
KREMEN1,7.89E-05,4.102922997
RUSC2,7.89E-05,4.102922997
SHANK2,7.89E-05,4.102922997
INS,7.90E-05,4.102372909
NACC1,7.90E-05,4.102372909
C1orf21,7.97E-05,4.098541679
RUFY3,7.99E-05,4.097453221
LOC100093631,8.04E-05,4.094743951
PADI1,8.13E-05,4.089909454
UACA,8.22E-05,4.085128182
DUSP13,8.34E-05,4.078833949
NFKBIZ,8.55E-05,4.068033885
SNX21,8.56E-05,4.067526235
LARGE,8.60E-05,4.065501549
ZNF43,8.70E-05,4.060480747
SRC,8.74E-05,4.058488567
ZEB1,8.74E-05,4.058488567
INTS5,8.75E-05,4.057991947
DLG2,8.79E-05,4.056011125
NARS,8.79E-05,4.056011125
C1QTNF7,8.86E-05,4.052566278
KCTD2,9.05E-05,4.043351421
DIP2A,9.10E-05,4.040958608
SLC18A2,9.18E-05,4.037157319
CDHR1,9.20E-05,4.036212173
CRY2,9.20E-05,4.036212173
TSC22D3,9.20E-05,4.036212173
DNAH9,9.29E-05,4.031984286
SZT2,9.48E-05,4.023191663
ASB6,9.56E-05,4.019542108
CNTLN,9.58E-05,4.018634491
MICALCL,9.59E-05,4.018181393
AIF1,9.65E-05,4.015472687
ARHGEF10L,9.70E-05,4.013228266
DLGAP4,9.74E-05,4.011441043
LRRC2,9.74E-05,4.011441043
EXOC3L4,9.79E-05,4.009217308
EFCC1,9.80E-05,4.008773924
FLII,9.83E-05,4.007446482
KRT84,9.84E-05,4.007004902
ANO1,1.01E-04,3.995678626
MAPK8IP1,1.02E-04,3.991399828
NR5A2,1.02E-04,3.991399828
PRAMEF10,1.02E-04,3.991399828
TRIO,1.02E-04,3.991399828
SPSB1,1.05E-04,3.978810701
NIT1,1.06E-04,3.974694135
PAPSS1,1.06E-04,3.974694135
TBCCD1,1.06E-04,3.974694135
EFS,1.08E-04,3.966576245
GPD2,1.08E-04,3.966576245
LAMB1,1.08E-04,3.966576245
LOC101928150,1.08E-04,3.966576245
MIR636,1.08E-04,3.966576245
PIGU,1.08E-04,3.966576245
TRAFD1,1.08E-04,3.966576245
TRMT2A,1.08E-04,3.966576245
LRRC37B,1.09E-04,3.962573502
FAM81A,1.10E-04,3.958607315
MTMR3,1.10E-04,3.958607315
FCHO1,1.11E-04,3.954677021
JADE1,1.11E-04,3.954677021
KLF4,1.11E-04,3.954677021
HSD17B13,1.13E-04,3.946921557
HOXB1,1.14E-04,3.943095149
RWDD2B,1.14E-04,3.943095149
CYP3A5,1.17E-04,3.931814138
MFSD2A,1.17E-04,3.931814138
BZW1,1.22E-04,3.913640169
VAX2,1.22E-04,3.913640169
C15orf59,1.24E-04,3.906578315
GAN,1.24E-04,3.906578315
RBBP4,1.24E-04,3.906578315
DEPTOR,1.25E-04,3.903089987
DYNLRB1,1.25E-04,3.903089987
MTMR3,1.25E-04,3.903089987
ZBTB16,1.26E-04,3.899629455
CLCN1,1.27E-04,3.896196279
MIR328,1.27E-04,3.896196279
MMP28,1.30E-04,3.886056648
ADAMTS4,1.32E-04,3.879426069
PIDD1,1.32E-04,3.879426069
PKNOX2,1.32E-04,3.879426069
PPP2R2B,1.32E-04,3.879426069
ITPKB,1.34E-04,3.872895202
OBFC1,1.34E-04,3.872895202
SIPA1L3,1.34E-04,3.872895202
ZNF768,1.34E-04,3.872895202
ANO1,1.37E-04,3.863279433
FOXN3,1.38E-04,3.860120914
PLEC,1.38E-04,3.860120914
RPL3,1.39E-04,3.8569852
DIS3L,1.41E-04,3.850780887
PTH1R,1.41E-04,3.850780887
NOL3,1.42E-04,3.847711656
WDR7,1.42E-04,3.847711656
FOXD2-AS1,1.43E-04,3.844663963
ZC2HC1A,1.43E-04,3.844663963
C2orf57,1.47E-04,3.832682665
ORC1,1.48E-04,3.829738285
PTPN13,1.48E-04,3.829738285
VAMP2,1.48E-04,3.829738285
CLTB,1.50E-04,3.823908741
SCARA5,1.51E-04,3.821023053
TPSG1,1.51E-04,3.821023053
TRIM58,1.51E-04,3.821023053
ZNF765,1.53E-04,3.815308569
DZIP3,1.54E-04,3.812479279
SCP2,1.57E-04,3.804100348
TMPPE,1.57E-04,3.804100348
TNFRSF18,1.57E-04,3.804100348
NEIL2,1.58E-04,3.801342913
ARMC5,1.59E-04,3.798602876
NR4A1,1.59E-04,3.798602876
SCRT1,1.59E-04,3.798602876
TLR4,1.60E-04,3.795880017
USF2,1.60E-04,3.795880017
C1QL4,1.61E-04,3.793174124
NMUR1,1.61E-04,3.793174124
PTPN13,1.62E-04,3.790484985
ATP1A4,1.63E-04,3.787812396
EFHC2,1.63E-04,3.787812396
PTPRA,1.63E-04,3.787812396
UNC80,1.66E-04,3.779891912
CD34,1.67E-04,3.777283529
TRERF1,1.67E-04,3.777283529
ADH1B,1.68E-04,3.774690718
EXOC3L4,1.68E-04,3.774690718
MIS12,1.68E-04,3.774690718
FBXL8,1.70E-04,3.769551079
BAX,1.72E-04,3.764471553
C11orf65,1.73E-04,3.761953897
DNAI2,1.73E-04,3.761953897
MRVI1,1.73E-04,3.761953897
MAGIX,1.81E-04,3.742321425
MEF2A,1.82E-04,3.739928612
OR8G2,1.82E-04,3.739928612
RSPH14,1.82E-04,3.739928612
C11orf21,1.83E-04,3.73754891
SERINC3,1.83E-04,3.73754891
RAB3C,1.84E-04,3.735182177
LRRK1,1.86E-04,3.730487056
HFM1,1.87E-04,3.728158393
ARAP2,1.88E-04,3.725842151
IQSEC3,1.88E-04,3.725842151
ZNF575,1.88E-04,3.725842151
CCDC183,1.89E-04,3.723538196
KLF3,1.89E-04,3.723538196
LRBA,1.89E-04,3.723538196
TRIM4,1.90E-04,3.721246399
C14orf64,1.93E-04,3.714442691
CYB561D1,1.93E-04,3.714442691
FAM188B,1.93E-04,3.714442691
PRODH,1.93E-04,3.714442691
SGCG,1.94E-04,3.71219827
ZNF592,1.94E-04,3.71219827
ARHGAP35,1.95E-04,3.709965389
C18orf42,1.95E-04,3.709965389
HOPX,1.95E-04,3.709965389
RAD21,1.99E-04,3.701146924
MGRN1,2.00E-04,3.698970004
MRGPRX2,2.00E-04,3.698970004
ASGR2,2.01E-04,3.696803943
HDGFL1,2.01E-04,3.696803943
C9orf43,2.02E-04,3.694648631
ABCF2,2.03E-04,3.692503962
MBL1P,2.04E-04,3.690369833
ZHX1,2.04E-04,3.690369833
GSTT2B,2.08E-04,3.681936665
TRPM4,2.08E-04,3.681936665
CCBE1,2.11E-04,3.675717545
GAS2L1,2.11E-04,3.675717545
GSDMA,2.11E-04,3.675717545
KIF17,2.11E-04,3.675717545
NOTCH3,2.11E-04,3.675717545
SNORA59A,2.11E-04,3.675717545
SLC24A4,2.12E-04,3.673664139
CYSLTR1,2.14E-04,3.669586227
TGS1,2.15E-04,3.66756154
AHCTF1,2.17E-04,3.663540266
KCNRG,2.17E-04,3.663540266
MST1R,2.17E-04,3.663540266
ASB8,2.18E-04,3.661543506
ARL17B,2.19E-04,3.659555885
C9orf64,2.22E-04,3.653647026
CDC20,2.22E-04,3.653647026
IL17D,2.23E-04,3.651695137
ARHGEF28,2.24E-04,3.649751982
ZDHHC3,2.25E-04,3.647817482
KANK3,2.27E-04,3.643974143
RPL18A,2.27E-04,3.643974143
MIR1237,2.28E-04,3.642065153
CSN1S1,2.29E-04,3.640164518
SLC28A3,2.31E-04,3.63638802
SOX6,2.31E-04,3.63638802
TESK2,2.31E-04,3.63638802
EFHB,2.32E-04,3.634512015
JAK1,2.32E-04,3.634512015
MAPT,2.32E-04,3.634512015
RNASEH2C,2.32E-04,3.634512015
DLX4,2.33E-04,3.632644079
EXOSC10,2.33E-04,3.632644079
IL1F10,2.34E-04,3.630784143
BRIP1,2.35E-04,3.628932138
ZFP41,2.35E-04,3.628932138
LOC643387,2.42E-04,3.616184634
AFMID,2.46E-04,3.609064893
LELP1,2.46E-04,3.609064893
ATG13,2.47E-04,3.607303047
BMP2,2.47E-04,3.607303047
RTP5,2.47E-04,3.607303047
SLC22A7,2.48E-04,3.605548319
SNORA55,2.50E-04,3.602059991
PVRL4,2.52E-04,3.598599459
PCDH12,2.54E-04,3.595166283
MBNL2,2.55E-04,3.59345982
PARD3,2.55E-04,3.59345982
CYLC2,2.56E-04,3.591760035
DIP2A,2.56E-04,3.591760035
IL34,2.57E-04,3.590066877
MYL6B,2.59E-04,3.586700236
PDE2A,2.59E-04,3.586700236
GALE,2.61E-04,3.583359493
SP2,2.61E-04,3.583359493
TMEM128,2.62E-04,3.581698709
LRRC71,2.63E-04,3.580044252
LOC390956,2.65E-04,3.576754126
ZC3H18,2.65E-04,3.576754126
ANXA7,2.66E-04,3.575118363
C10orf105,2.66E-04,3.575118363
CHORDC1,2.66E-04,3.575118363
HCRT,2.66E-04,3.575118363
PAX9,2.67E-04,3.573488739
CLDN3,2.70E-04,3.568636236
FAM49B,2.70E-04,3.568636236
PHKA1,2.70E-04,3.568636236
PRKACG,2.70E-04,3.568636236
RXRG,2.70E-04,3.568636236
SYT7,2.70E-04,3.568636236
CEACAM4,2.72E-04,3.565431096
CNNM2,2.72E-04,3.565431096
DEFB123,2.72E-04,3.565431096
DNM2,2.72E-04,3.565431096
FAM149A,2.72E-04,3.565431096
PDCD1LG2,2.72E-04,3.565431096
RNASE4,2.72E-04,3.565431096
TNIK,2.72E-04,3.565431096
ZNF706,2.72E-04,3.565431096
ADCY9,2.75E-04,3.560667306
CYP26A1,2.76E-04,3.559090918
SPACA4,2.76E-04,3.559090918
FKBP15,2.77E-04,3.557520231
ELAVL3,2.78E-04,3.555955204
FUCA2,2.78E-04,3.555955204
MAPK14,2.80E-04,3.552841969
C15orf39,2.84E-04,3.54668166
NAGA,2.84E-04,3.54668166
TBC1D21,2.84E-04,3.54668166
BEST2,2.89E-04,3.539102157
SOD3,2.90E-04,3.537602002
NME2,2.91E-04,3.536107011
BEND7,2.92E-04,3.534617149
RPL19P12,2.92E-04,3.534617149
HEATR1,2.93E-04,3.53313238
KLHL26,2.93E-04,3.53313238
ARHGEF15,2.96E-04,3.528708289
NUDT6,2.96E-04,3.528708289
PLBD2,2.96E-04,3.528708289
FBXL18,2.97E-04,3.527243551
PTPN21,2.97E-04,3.527243551
MED14,2.99E-04,3.524328812
GPR124,3.02E-04,3.519993057
L1CAM,3.03E-04,3.518557371
OPA3,3.04E-04,3.517126416
SUCNR1,3.04E-04,3.517126416
RBM28,3.05E-04,3.515700161
INCENP,3.06E-04,3.514278574
LDHAL6A,3.06E-04,3.514278574
RNF115,3.06E-04,3.514278574
SHROOM3,3.07E-04,3.512861625
COG5,3.08E-04,3.511449283
SOX30,3.08E-04,3.511449283
XPR1,3.10E-04,3.508638306
ZFR,3.10E-04,3.508638306
SUSD2,3.11E-04,3.507239611
MIR346,3.12E-04,3.505845406
APC2,3.13E-04,3.504455662
LEPR,3.13E-04,3.504455662
CETN1,3.14E-04,3.503070352
SLC39A3,3.14E-04,3.503070352
SLIT3,3.14E-04,3.503070352
WHAMM,3.14E-04,3.503070352
PRDM2,3.18E-04,3.49757288
THEMIS2,3.18E-04,3.49757288
VENTX,3.18E-04,3.49757288
CAB39L,3.21E-04,3.493494968
SNCG,3.22E-04,3.492144128
RBPJ,3.23E-04,3.490797478
SNHG11,3.23E-04,3.490797478
HAP1,3.24E-04,3.48945499
OR8K5,3.25E-04,3.488116639
GAL3ST1,3.27E-04,3.485452247
DRD3,3.29E-04,3.482804102
FAM189A2,3.29E-04,3.482804102
MIR877,3.29E-04,3.482804102
PODXL,3.29E-04,3.482804102
ZNF765,3.33E-04,3.477555766
LRRC1,3.35E-04,3.474955193
COBL,3.36E-04,3.473660723
RABGEF1,3.36E-04,3.473660723
PLK1,3.37E-04,3.472370099
WBP5,3.37E-04,3.472370099
LGI4,3.41E-04,3.467245621
POLG,3.41E-04,3.467245621
TNFSF12,3.41E-04,3.467245621
BTBD18,3.43E-04,3.46470588
SCLY,3.43E-04,3.46470588
SORCS1,3.43E-04,3.46470588
TMEM99,3.45E-04,3.462180905
CD300E,3.47E-04,3.459670525
MAGED1,3.47E-04,3.459670525
ZBTB18,3.47E-04,3.459670525
ZDHHC6,3.48E-04,3.458420756
C1QL1,3.51E-04,3.454692884
ACADL,3.53E-04,3.452225295
TBC1D22B,3.53E-04,3.452225295
FAM72B,3.55E-04,3.449771647
